Strike,Bid,Ask,Expiration,Delta,Open Interest,Volume,Implied Volatility,Ticker
95,1.25,1.35,2026-04-17,-0.25,2500,450,0.32,AAPL
100,2.50,2.65,2026-04-17,-0.35,3200,820,0.35,AAPL
105,4.20,4.40,2026-04-17,-0.45,1800,310,0.38,AAPL
110,6.50,6.75,2026-04-17,-0.55,950,125,0.42,AAPL
95,0.85,0.95,2026-05-15,-0.20,1900,280,0.30,AAPL
100,1.80,1.95,2026-05-15,-0.28,2800,540,0.33,AAPL
105,3.10,3.30,2026-05-15,-0.38,2100,390,0.36,AAPL
110,5.00,5.25,2026-05-15,-0.48,1200,180,0.40,AAPL
115,7.50,7.85,2026-05-15,-0.58,600,75,0.44,AAPL
95,0.50,0.60,2026-06-19,-0.18,3500,620,0.28,AAPL
100,1.20,1.35,2026-06-19,-0.25,4200,890,0.31,AAPL
105,2.25,2.45,2026-06-19,-0.33,3100,510,0.34,AAPL
110,3.80,4.05,2026-06-19,-0.42,1850,240,0.38,AAPL
115,5.90,6.20,2026-06-19,-0.51,980,140,0.42,AAPL
120,8.50,8.90,2026-06-19,-0.60,520,65,0.46,AAPL
90,2.10,2.25,2026-04-17,-0.22,1600,310,0.34,MSFT
95,3.50,3.70,2026-04-17,-0.32,2100,480,0.37,MSFT
100,5.40,5.65,2026-04-17,-0.42,1450,220,0.40,MSFT
105,7.80,8.10,2026-04-17,-0.52,820,110,0.44,MSFT
90,1.60,1.75,2026-05-15,-0.19,2200,420,0.32,MSFT
95,2.70,2.90,2026-05-15,-0.28,2800,590,0.35,MSFT
100,4.30,4.55,2026-05-15,-0.37,1900,340,0.38,MSFT
105,6.40,6.70,2026-05-15,-0.47,1100,170,0.42,MSFT
110,9.10,9.50,2026-05-15,-0.56,650,85,0.46,MSFT
